aws,awslat,awslon
CEN1,77.1818054806481,-61.1156996499532
CEN2,75.1734331356711,-57.2485296985993
CP1,69.8721873276867,-47.0382461902249
DY2,66.4823397553128,-46.2934773044687
EGP,75.6254047662798,-35.973105848542
HUM,78.5288595224611,-56.8443217843304
JAR,69.4922186689862,-49.720009861829
JAR_O,69.494745929156,-49.6703447099745
KAN_L,67.0956531608765,-49.9481421431874
KAN_M,67.0669331040909,-48.8351582476921
KAN_U,67.0004261413512,-47.0268162284248
KPC_L,79.9108979981623,-24.0829420876425
KPC_U,79.8344779179979,-25.1666408232104
MIT,65.6922831304889,-37.9258792278628
NAE,75.0024354072398,-29.9804782714932
NAU,73.8405175961995,-49.5326183842043
NEM,77.4414224464538,-51.0837066993501
NSE,66.4777231509625,-42.4934805041793
NUK_K,64.1622713091058,-51.3586684626417
NUK_L,64.6070642419608,-49.6710294747968
NUK_N,64.9454244813456,-49.8844697775818
NUK_U,64.5616480972664,-49.2990718882665
NUK_UV3,64.5062481751004,-49.2756369891991
QAS_A,61.2441163803686,-46.7332312818245
QAS_L,61.0346413615625,-46.9629941295357
QAS_M,61.0992967026691,-46.8333111414839
QAS_U,61.1754860528828,-46.8192868588173
QAS_UV3,61.1730846641176,-46.8214047327215
SCO_L,72.225845197036,-26.8175564430885
SCO_U,72.394210848284,-27.2578159471768
SDL,66.0001430593791,-44.5026864526454
SDM,63.1489906348443,-44.8173824076461
SWC,69.5533565274263,-49.372497931917
SWC_O,69.5952586486762,-49.2796253650713
TAS_A,65.7787166541165,-38.8990976582164
TAS_L,65.7443647433821,-39.1148281531722
TAS_U,65.8084232844787,-39.036879037253
THU_L,76.3998289812315,-68.2666714188265
THU_L2,76.3930279218989,-68.2650255405819
THU_U,76.4193340903652,-68.1483509182928
THU_U2,76.390298764852,-68.1100798613367
TUN,78.0191214812012,-33.9627057138672
UPE_L,72.8932204664837,-54.2953555053388
UPE_U,72.8886948916645,-53.5678126613314
ZAK_UV3,74.6433795217713,-21.4624172728167
